visit_date,year,month,day,season,day_of_week,working_day,holiday_flg
2016-01-01,0,1,1,0,5,0,1
2016-01-02,0,1,2,0,6,1,1
2016-01-03,0,1,3,0,0,1,1
2016-01-04,0,1,4,0,1,0,0
2016-01-05,0,1,5,0,2,0,0
2016-01-06,0,1,6,0,3,0,0
2016-01-07,0,1,7,0,4,0,0
2016-01-08,0,1,8,0,5,0,0
2016-01-09,0,1,9,0,6,1,0
2016-01-10,0,1,10,0,0,1,0
2016-01-11,0,1,11,0,1,0,1
2016-01-12,0,1,12,0,2,0,0
2016-01-13,0,1,13,0,3,0,0
2016-01-14,0,1,14,0,4,0,0
2016-01-15,0,1,15,0,5,0,0
2016-01-16,0,1,16,0,6,1,0
2016-01-17,0,1,17,0,0,1,0
2016-01-18,0,1,18,0,1,0,0
2016-01-19,0,1,19,0,2,0,0
2016-01-20,0,1,20,0,3,0,0
2016-01-21,0,1,21,0,4,0,0
2016-01-22,0,1,22,0,5,0,0
2016-01-23,0,1,23,0,6,1,0
2016-01-24,0,1,24,0,0,1,0
2016-01-25,0,1,25,0,1,0,0
2016-01-26,0,1,26,0,2,0,0
2016-01-27,0,1,27,0,3,0,0
2016-01-28,0,1,28,0,4,0,0
2016-01-29,0,1,29,0,5,0,0
2016-01-30,0,1,30,0,6,1,0
2016-01-31,0,1,31,0,0,1,0
2016-02-01,0,2,1,0,1,0,0
2016-02-02,0,2,2,0,2,0,0
2016-02-03,0,2,3,0,3,0,0
2016-02-04,0,2,4,0,4,0,0
2016-02-05,0,2,5,0,5,0,0
2016-02-06,0,2,6,0,6,1,0
2016-02-07,0,2,7,0,0,1,0
2016-02-08,0,2,8,0,1,0,0
2016-02-09,0,2,9,0,2,0,0
2016-02-10,0,2,10,0,3,0,0
2016-02-11,0,2,11,0,4,0,1
2016-02-12,0,2,12,0,5,0,0
2016-02-13,0,2,13,0,6,1,0
2016-02-14,0,2,14,0,0,1,0
2016-02-15,0,2,15,0,1,0,0
2016-02-16,0,2,16,0,2,0,0
2016-02-17,0,2,17,0,3,0,0
2016-02-18,0,2,18,0,4,0,0
2016-02-19,0,2,19,0,5,0,0
2016-02-20,0,2,20,0,6,1,0
2016-02-21,0,2,21,0,0,1,0
2016-02-22,0,2,22,0,1,0,0
2016-02-23,0,2,23,0,2,0,0
2016-02-24,0,2,24,0,3,0,0
2016-02-25,0,2,25,0,4,0,0
2016-02-26,0,2,26,0,5,0,0
2016-02-27,0,2,27,0,6,1,0
2016-02-28,0,2,28,0,0,1,0
2016-02-29,0,2,29,0,1,0,0
2016-03-01,0,3,1,1,2,0,0
2016-03-02,0,3,2,1,3,0,0
2016-03-03,0,3,3,1,4,0,0
2016-03-04,0,3,4,1,5,0,0
2016-03-05,0,3,5,1,6,1,0
2016-03-06,0,3,6,1,0,1,0
2016-03-07,0,3,7,1,1,0,0
2016-03-08,0,3,8,1,2,0,0
2016-03-09,0,3,9,1,3,0,0
2016-03-10,0,3,10,1,4,0,0
2016-03-11,0,3,11,1,5,0,0
2016-03-12,0,3,12,1,6,1,0
2016-03-13,0,3,13,1,0,1,0
2016-03-14,0,3,14,1,1,0,0
2016-03-15,0,3,15,1,2,0,0
2016-03-16,0,3,16,1,3,0,0
2016-03-17,0,3,17,1,4,0,0
2016-03-18,0,3,18,1,5,0,0
2016-03-19,0,3,19,1,6,1,0
2016-03-20,0,3,20,1,0,1,1
2016-03-21,0,3,21,1,1,0,1
2016-03-22,0,3,22,1,2,0,0
2016-03-23,0,3,23,1,3,0,0
2016-03-24,0,3,24,1,4,0,0
2016-03-25,0,3,25,1,5,0,0
2016-03-26,0,3,26,1,6,1,0
2016-03-27,0,3,27,1,0,1,0
2016-03-28,0,3,28,1,1,0,0
2016-03-29,0,3,29,1,2,0,0
2016-03-30,0,3,30,1,3,0,0
2016-03-31,0,3,31,1,4,0,0
2016-04-01,0,4,1,1,5,0,0
2016-04-02,0,4,2,1,6,1,0
2016-04-03,0,4,3,1,0,1,0
2016-04-04,0,4,4,1,1,0,0
2016-04-05,0,4,5,1,2,0,0
2016-04-06,0,4,6,1,3,0,0
2016-04-07,0,4,7,1,4,0,0
2016-04-08,0,4,8,1,5,0,0
2016-04-09,0,4,9,1,6,1,0
2016-04-10,0,4,10,1,0,1,0
2016-04-11,0,4,11,1,1,0,0
2016-04-12,0,4,12,1,2,0,0
2016-04-13,0,4,13,1,3,0,0
2016-04-14,0,4,14,1,4,0,0
2016-04-15,0,4,15,1,5,0,0
2016-04-16,0,4,16,1,6,1,0
2016-04-17,0,4,17,1,0,1,0
2016-04-18,0,4,18,1,1,0,0
2016-04-19,0,4,19,1,2,0,0
2016-04-20,0,4,20,1,3,0,0
2016-04-21,0,4,21,1,4,0,0
2016-04-22,0,4,22,1,5,0,0
2016-04-23,0,4,23,1,6,1,0
2016-04-24,0,4,24,1,0,1,0
2016-04-25,0,4,25,1,1,0,0
2016-04-26,0,4,26,1,2,0,0
2016-04-27,0,4,27,1,3,0,0
2016-04-28,0,4,28,1,4,0,0
2016-04-29,0,4,29,1,5,0,1
2016-04-30,0,4,30,1,6,1,0
2016-05-01,0,5,1,1,0,1,0
2016-05-02,0,5,2,1,1,0,0
2016-05-03,0,5,3,1,2,0,1
2016-05-04,0,5,4,1,3,0,1
2016-05-05,0,5,5,1,4,0,1
2016-05-06,0,5,6,1,5,0,0
2016-05-07,0,5,7,1,6,1,0
2016-05-08,0,5,8,1,0,1,0
2016-05-09,0,5,9,1,1,0,0
2016-05-10,0,5,10,1,2,0,0
2016-05-11,0,5,11,1,3,0,0
2016-05-12,0,5,12,1,4,0,0
2016-05-13,0,5,13,1,5,0,0
2016-05-14,0,5,14,1,6,1,0
2016-05-15,0,5,15,1,0,1,0
2016-05-16,0,5,16,1,1,0,0
2016-05-17,0,5,17,1,2,0,0
2016-05-18,0,5,18,1,3,0,0
2016-05-19,0,5,19,1,4,0,0
2016-05-20,0,5,20,1,5,0,0
2016-05-21,0,5,21,1,6,1,0
2016-05-22,0,5,22,1,0,1,0
2016-05-23,0,5,23,1,1,0,0
2016-05-24,0,5,24,1,2,0,0
2016-05-25,0,5,25,1,3,0,0
2016-05-26,0,5,26,1,4,0,0
2016-05-27,0,5,27,1,5,0,0
2016-05-28,0,5,28,1,6,1,0
2016-05-29,0,5,29,1,0,1,0
2016-05-30,0,5,30,1,1,0,0
2016-05-31,0,5,31,1,2,0,0
2016-06-01,0,6,1,2,3,0,0
2016-06-02,0,6,2,2,4,0,0
2016-06-03,0,6,3,2,5,0,0
2016-06-04,0,6,4,2,6,1,0
2016-06-05,0,6,5,2,0,1,0
2016-06-06,0,6,6,2,1,0,0
2016-06-07,0,6,7,2,2,0,0
2016-06-08,0,6,8,2,3,0,0
2016-06-09,0,6,9,2,4,0,0
2016-06-10,0,6,10,2,5,0,0
2016-06-11,0,6,11,2,6,1,0
2016-06-12,0,6,12,2,0,1,0
2016-06-13,0,6,13,2,1,0,0
2016-06-14,0,6,14,2,2,0,0
2016-06-15,0,6,15,2,3,0,0
2016-06-16,0,6,16,2,4,0,0
2016-06-17,0,6,17,2,5,0,0
2016-06-18,0,6,18,2,6,1,0
2016-06-19,0,6,19,2,0,1,0
2016-06-20,0,6,20,2,1,0,0
2016-06-21,0,6,21,2,2,0,0
2016-06-22,0,6,22,2,3,0,0
2016-06-23,0,6,23,2,4,0,0
2016-06-24,0,6,24,2,5,0,0
2016-06-25,0,6,25,2,6,1,0
2016-06-26,0,6,26,2,0,1,0
2016-06-27,0,6,27,2,1,0,0
2016-06-28,0,6,28,2,2,0,0
2016-06-29,0,6,29,2,3,0,0
2016-06-30,0,6,30,2,4,0,0
2016-07-01,0,7,1,2,5,0,0
2016-07-02,0,7,2,2,6,1,0
2016-07-03,0,7,3,2,0,1,0
2016-07-04,0,7,4,2,1,0,0
2016-07-05,0,7,5,2,2,0,0
2016-07-06,0,7,6,2,3,0,0
2016-07-07,0,7,7,2,4,0,0
2016-07-08,0,7,8,2,5,0,0
2016-07-09,0,7,9,2,6,1,0
2016-07-10,0,7,10,2,0,1,0
2016-07-11,0,7,11,2,1,0,0
2016-07-12,0,7,12,2,2,0,0
2016-07-13,0,7,13,2,3,0,0
2016-07-14,0,7,14,2,4,0,0
2016-07-15,0,7,15,2,5,0,0
2016-07-16,0,7,16,2,6,1,0
2016-07-17,0,7,17,2,0,1,0
2016-07-18,0,7,18,2,1,0,1
2016-07-19,0,7,19,2,2,0,0
2016-07-20,0,7,20,2,3,0,0
2016-07-21,0,7,21,2,4,0,0
2016-07-22,0,7,22,2,5,0,0
2016-07-23,0,7,23,2,6,1,0
2016-07-24,0,7,24,2,0,1,0
2016-07-25,0,7,25,2,1,0,0
2016-07-26,0,7,26,2,2,0,0
2016-07-27,0,7,27,2,3,0,0
2016-07-28,0,7,28,2,4,0,0
2016-07-29,0,7,29,2,5,0,0
2016-07-30,0,7,30,2,6,1,0
2016-07-31,0,7,31,2,0,1,0
2016-08-01,0,8,1,2,1,0,0
2016-08-02,0,8,2,2,2,0,0
2016-08-03,0,8,3,2,3,0,0
2016-08-04,0,8,4,2,4,0,0
2016-08-05,0,8,5,2,5,0,0
2016-08-06,0,8,6,2,6,1,0
2016-08-07,0,8,7,2,0,1,0
2016-08-08,0,8,8,2,1,0,0
2016-08-09,0,8,9,2,2,0,0
2016-08-10,0,8,10,2,3,0,0
2016-08-11,0,8,11,2,4,0,1
2016-08-12,0,8,12,2,5,0,0
2016-08-13,0,8,13,2,6,1,1
2016-08-14,0,8,14,2,0,1,1
2016-08-15,0,8,15,2,1,0,1
2016-08-16,0,8,16,2,2,0,0
2016-08-17,0,8,17,2,3,0,0
2016-08-18,0,8,18,2,4,0,0
2016-08-19,0,8,19,2,5,0,0
2016-08-20,0,8,20,2,6,1,0
2016-08-21,0,8,21,2,0,1,0
2016-08-22,0,8,22,2,1,0,0
2016-08-23,0,8,23,2,2,0,0
2016-08-24,0,8,24,2,3,0,0
2016-08-25,0,8,25,2,4,0,0
2016-08-26,0,8,26,2,5,0,0
2016-08-27,0,8,27,2,6,1,0
2016-08-28,0,8,28,2,0,1,0
2016-08-29,0,8,29,2,1,0,0
2016-08-30,0,8,30,2,2,0,0
