store_id_date,reserve_visitors,diff_day,air_store_id,visit_date
air_00a91d42b08b08d9_2016-01-14,2,3,air_00a91d42b08b08d9,2016-01-14
air_00a91d42b08b08d9_2016-01-15,4,5,air_00a91d42b08b08d9,2016-01-15
air_00a91d42b08b08d9_2016-01-16,2,2,air_00a91d42b08b08d9,2016-01-16
air_00a91d42b08b08d9_2016-01-22,2,3,air_00a91d42b08b08d9,2016-01-22
air_00a91d42b08b08d9_2016-01-29,5,6,air_00a91d42b08b08d9,2016-01-29
air_00a91d42b08b08d9_2016-02-05,2,16,air_00a91d42b08b08d9,2016-02-05
air_00a91d42b08b08d9_2016-03-08,3,2,air_00a91d42b08b08d9,2016-03-08
air_00a91d42b08b08d9_2016-04-04,1,3,air_00a91d42b08b08d9,2016-04-04
air_00a91d42b08b08d9_2016-04-07,2,0,air_00a91d42b08b08d9,2016-04-07
air_00a91d42b08b08d9_2016-04-08,7,13,air_00a91d42b08b08d9,2016-04-08
air_00a91d42b08b08d9_2016-04-09,4,2,air_00a91d42b08b08d9,2016-04-09
air_00a91d42b08b08d9_2016-04-22,2,0,air_00a91d42b08b08d9,2016-04-22
air_00a91d42b08b08d9_2016-04-28,2,1,air_00a91d42b08b08d9,2016-04-28
air_00a91d42b08b08d9_2016-05-06,2,0,air_00a91d42b08b08d9,2016-05-06
air_00a91d42b08b08d9_2016-05-12,5,2,air_00a91d42b08b08d9,2016-05-12
air_00a91d42b08b08d9_2016-05-13,3,1,air_00a91d42b08b08d9,2016-05-13
air_00a91d42b08b08d9_2016-05-20,1,5,air_00a91d42b08b08d9,2016-05-20
air_00a91d42b08b08d9_2016-05-27,15,13,air_00a91d42b08b08d9,2016-05-27
air_00a91d42b08b08d9_2016-06-03,4,0,air_00a91d42b08b08d9,2016-06-03
air_00a91d42b08b08d9_2016-06-09,5,1,air_00a91d42b08b08d9,2016-06-09
air_00a91d42b08b08d9_2016-06-10,4,0,air_00a91d42b08b08d9,2016-06-10
air_00a91d42b08b08d9_2016-06-16,2,0,air_00a91d42b08b08d9,2016-06-16
air_00a91d42b08b08d9_2016-06-17,2,1,air_00a91d42b08b08d9,2016-06-17
air_00a91d42b08b08d9_2016-06-22,7,17,air_00a91d42b08b08d9,2016-06-22
air_00a91d42b08b08d9_2016-06-24,6,10,air_00a91d42b08b08d9,2016-06-24
air_00a91d42b08b08d9_2016-06-30,3,17,air_00a91d42b08b08d9,2016-06-30
air_00a91d42b08b08d9_2016-07-01,1,1,air_00a91d42b08b08d9,2016-07-01
air_00a91d42b08b08d9_2016-07-06,7,11,air_00a91d42b08b08d9,2016-07-06
air_00a91d42b08b08d9_2016-07-08,9,0,air_00a91d42b08b08d9,2016-07-08
air_00a91d42b08b08d9_2016-07-09,6,1,air_00a91d42b08b08d9,2016-07-09
air_00a91d42b08b08d9_2016-07-13,4,12,air_00a91d42b08b08d9,2016-07-13
air_00a91d42b08b08d9_2016-07-16,3,1,air_00a91d42b08b08d9,2016-07-16
air_00a91d42b08b08d9_2016-07-20,1,10,air_00a91d42b08b08d9,2016-07-20
air_00a91d42b08b08d9_2016-07-21,9,17,air_00a91d42b08b08d9,2016-07-21
air_00a91d42b08b08d9_2016-07-22,2,0,air_00a91d42b08b08d9,2016-07-22
air_00a91d42b08b08d9_2016-07-27,2,18,air_00a91d42b08b08d9,2016-07-27
air_00a91d42b08b08d9_2016-08-05,2,5,air_00a91d42b08b08d9,2016-08-05
air_00a91d42b08b08d9_2016-08-19,7,5,air_00a91d42b08b08d9,2016-08-19
air_00a91d42b08b08d9_2016-08-20,17,23,air_00a91d42b08b08d9,2016-08-20
air_00a91d42b08b08d9_2016-08-25,14,9,air_00a91d42b08b08d9,2016-08-25
air_00a91d42b08b08d9_2016-08-26,2,11,air_00a91d42b08b08d9,2016-08-26
air_00a91d42b08b08d9_2016-08-27,3,1,air_00a91d42b08b08d9,2016-08-27
air_00a91d42b08b08d9_2016-09-02,5,7,air_00a91d42b08b08d9,2016-09-02
air_00a91d42b08b08d9_2016-09-12,2,0,air_00a91d42b08b08d9,2016-09-12
air_00a91d42b08b08d9_2016-09-17,2,7,air_00a91d42b08b08d9,2016-09-17
air_00a91d42b08b08d9_2016-09-23,1,3,air_00a91d42b08b08d9,2016-09-23
air_00a91d42b08b08d9_2016-09-24,2,7,air_00a91d42b08b08d9,2016-09-24
air_00a91d42b08b08d9_2016-09-28,2,3,air_00a91d42b08b08d9,2016-09-28
air_00a91d42b08b08d9_2016-10-25,1,0,air_00a91d42b08b08d9,2016-10-25
air_00a91d42b08b08d9_2016-10-26,24,6,air_00a91d42b08b08d9,2016-10-26
air_00a91d42b08b08d9_2016-10-31,2,0,air_00a91d42b08b08d9,2016-10-31
air_00a91d42b08b08d9_2016-11-04,13,1,air_00a91d42b08b08d9,2016-11-04
air_00a91d42b08b08d9_2016-11-09,3,0,air_00a91d42b08b08d9,2016-11-09
air_00a91d42b08b08d9_2016-11-11,8,20,air_00a91d42b08b08d9,2016-11-11
air_00a91d42b08b08d9_2016-11-18,6,28,air_00a91d42b08b08d9,2016-11-18
air_00a91d42b08b08d9_2016-12-02,2,1,air_00a91d42b08b08d9,2016-12-02
air_00a91d42b08b08d9_2016-12-05,10,4,air_00a91d42b08b08d9,2016-12-05
air_00a91d42b08b08d9_2016-12-07,5,6,air_00a91d42b08b08d9,2016-12-07
air_00a91d42b08b08d9_2016-12-09,2,3,air_00a91d42b08b08d9,2016-12-09
air_00a91d42b08b08d9_2016-12-10,2,3,air_00a91d42b08b08d9,2016-12-10
air_00a91d42b08b08d9_2016-12-13,6,11,air_00a91d42b08b08d9,2016-12-13
air_00a91d42b08b08d9_2016-12-14,18,6,air_00a91d42b08b08d9,2016-12-14
air_00a91d42b08b08d9_2016-12-16,4,4,air_00a91d42b08b08d9,2016-12-16
air_00a91d42b08b08d9_2016-12-17,4,12,air_00a91d42b08b08d9,2016-12-17
air_00a91d42b08b08d9_2016-12-20,8,4,air_00a91d42b08b08d9,2016-12-20
air_00a91d42b08b08d9_2016-12-21,37,33,air_00a91d42b08b08d9,2016-12-21
air_00a91d42b08b08d9_2016-12-22,11,45,air_00a91d42b08b08d9,2016-12-22
air_00a91d42b08b08d9_2016-12-24,4,52,air_00a91d42b08b08d9,2016-12-24
air_00a91d42b08b08d9_2017-01-06,7,1,air_00a91d42b08b08d9,2017-01-06
air_00a91d42b08b08d9_2017-01-10,4,3,air_00a91d42b08b08d9,2017-01-10
air_00a91d42b08b08d9_2017-01-12,1,0,air_00a91d42b08b08d9,2017-01-12
air_00a91d42b08b08d9_2017-01-13,2,2,air_00a91d42b08b08d9,2017-01-13
air_00a91d42b08b08d9_2017-01-20,2,15,air_00a91d42b08b08d9,2017-01-20
air_00a91d42b08b08d9_2017-01-23,19,4,air_00a91d42b08b08d9,2017-01-23
air_00a91d42b08b08d9_2017-01-27,1,0,air_00a91d42b08b08d9,2017-01-27
air_00a91d42b08b08d9_2017-01-28,2,0,air_00a91d42b08b08d9,2017-01-28
air_00a91d42b08b08d9_2017-01-31,6,4,air_00a91d42b08b08d9,2017-01-31
air_00a91d42b08b08d9_2017-02-03,2,0,air_00a91d42b08b08d9,2017-02-03
air_00a91d42b08b08d9_2017-02-07,5,4,air_00a91d42b08b08d9,2017-02-07
air_00a91d42b08b08d9_2017-02-15,3,0,air_00a91d42b08b08d9,2017-02-15
air_00a91d42b08b08d9_2017-02-18,9,5,air_00a91d42b08b08d9,2017-02-18
air_00a91d42b08b08d9_2017-02-21,1,17,air_00a91d42b08b08d9,2017-02-21
air_00a91d42b08b08d9_2017-02-23,12,1,air_00a91d42b08b08d9,2017-02-23
air_00a91d42b08b08d9_2017-02-25,2,4,air_00a91d42b08b08d9,2017-02-25
air_00a91d42b08b08d9_2017-03-01,7,22,air_00a91d42b08b08d9,2017-03-01
air_00a91d42b08b08d9_2017-03-02,2,0,air_00a91d42b08b08d9,2017-03-02
air_00a91d42b08b08d9_2017-03-08,4,8,air_00a91d42b08b08d9,2017-03-08
air_00a91d42b08b08d9_2017-03-14,6,0,air_00a91d42b08b08d9,2017-03-14
air_00a91d42b08b08d9_2017-03-16,2,9,air_00a91d42b08b08d9,2017-03-16
air_00a91d42b08b08d9_2017-03-21,6,9,air_00a91d42b08b08d9,2017-03-21
air_00a91d42b08b08d9_2017-03-23,1,21,air_00a91d42b08b08d9,2017-03-23
air_00a91d42b08b08d9_2017-03-24,4,2,air_00a91d42b08b08d9,2017-03-24
air_00a91d42b08b08d9_2017-03-29,11,12,air_00a91d42b08b08d9,2017-03-29
air_00a91d42b08b08d9_2017-03-30,3,2,air_00a91d42b08b08d9,2017-03-30
air_00a91d42b08b08d9_2017-04-04,2,2,air_00a91d42b08b08d9,2017-04-04
air_00a91d42b08b08d9_2017-04-12,1,0,air_00a91d42b08b08d9,2017-04-12
air_00a91d42b08b08d9_2017-04-22,9,0,air_00a91d42b08b08d9,2017-04-22
air_0164b9927d20bcc3_2016-10-28,12,10,air_0164b9927d20bcc3,2016-10-28
air_0164b9927d20bcc3_2016-11-01,10,4,air_0164b9927d20bcc3,2016-11-01
air_0164b9927d20bcc3_2016-11-02,3,0,air_0164b9927d20bcc3,2016-11-02
air_0164b9927d20bcc3_2016-11-08,9,8,air_0164b9927d20bcc3,2016-11-08
air_0164b9927d20bcc3_2016-11-10,6,42,air_0164b9927d20bcc3,2016-11-10
air_0164b9927d20bcc3_2016-11-11,4,0,air_0164b9927d20bcc3,2016-11-11
air_0164b9927d20bcc3_2016-11-14,17,22,air_0164b9927d20bcc3,2016-11-14
air_0164b9927d20bcc3_2016-11-15,3,3,air_0164b9927d20bcc3,2016-11-15
air_0164b9927d20bcc3_2016-11-16,2,0,air_0164b9927d20bcc3,2016-11-16
air_0164b9927d20bcc3_2016-11-18,13,13,air_0164b9927d20bcc3,2016-11-18
air_0164b9927d20bcc3_2016-11-21,3,6,air_0164b9927d20bcc3,2016-11-21
air_0164b9927d20bcc3_2016-11-22,9,22,air_0164b9927d20bcc3,2016-11-22
air_0164b9927d20bcc3_2016-11-24,2,7,air_0164b9927d20bcc3,2016-11-24
air_0164b9927d20bcc3_2016-11-26,10,38,air_0164b9927d20bcc3,2016-11-26
air_0164b9927d20bcc3_2016-11-28,2,0,air_0164b9927d20bcc3,2016-11-28
air_0164b9927d20bcc3_2016-12-02,3,0,air_0164b9927d20bcc3,2016-12-02
air_0164b9927d20bcc3_2016-12-05,4,11,air_0164b9927d20bcc3,2016-12-05
air_0164b9927d20bcc3_2016-12-06,2,1,air_0164b9927d20bcc3,2016-12-06
air_0164b9927d20bcc3_2016-12-07,2,6,air_0164b9927d20bcc3,2016-12-07
air_0164b9927d20bcc3_2016-12-08,9,18,air_0164b9927d20bcc3,2016-12-08
air_0164b9927d20bcc3_2016-12-14,2,61,air_0164b9927d20bcc3,2016-12-14
air_0164b9927d20bcc3_2016-12-15,15,16,air_0164b9927d20bcc3,2016-12-15
air_0164b9927d20bcc3_2016-12-16,6,1,air_0164b9927d20bcc3,2016-12-16
air_0164b9927d20bcc3_2016-12-19,2,12,air_0164b9927d20bcc3,2016-12-19
air_0164b9927d20bcc3_2016-12-21,2,17,air_0164b9927d20bcc3,2016-12-21
air_0164b9927d20bcc3_2016-12-22,7,13,air_0164b9927d20bcc3,2016-12-22
air_0164b9927d20bcc3_2016-12-23,2,4,air_0164b9927d20bcc3,2016-12-23
air_0164b9927d20bcc3_2016-12-26,2,7,air_0164b9927d20bcc3,2016-12-26
air_0164b9927d20bcc3_2016-12-27,3,13,air_0164b9927d20bcc3,2016-12-27
air_0164b9927d20bcc3_2017-01-06,3,31,air_0164b9927d20bcc3,2017-01-06
air_0164b9927d20bcc3_2017-01-12,10,35,air_0164b9927d20bcc3,2017-01-12
air_0164b9927d20bcc3_2017-01-13,2,24,air_0164b9927d20bcc3,2017-01-13
air_0164b9927d20bcc3_2017-01-14,9,43,air_0164b9927d20bcc3,2017-01-14
air_0164b9927d20bcc3_2017-01-16,6,33,air_0164b9927d20bcc3,2017-01-16
air_0164b9927d20bcc3_2017-01-17,6,5,air_0164b9927d20bcc3,2017-01-17
air_0164b9927d20bcc3_2017-01-19,2,0,air_0164b9927d20bcc3,2017-01-19
air_0164b9927d20bcc3_2017-01-20,2,25,air_0164b9927d20bcc3,2017-01-20
air_0164b9927d20bcc3_2017-01-23,11,52,air_0164b9927d20bcc3,2017-01-23
air_0164b9927d20bcc3_2017-01-24,5,19,air_0164b9927d20bcc3,2017-01-24
air_0164b9927d20bcc3_2017-01-25,2,2,air_0164b9927d20bcc3,2017-01-25
air_0164b9927d20bcc3_2017-01-26,16,8,air_0164b9927d20bcc3,2017-01-26
air_0164b9927d20bcc3_2017-01-27,1,0,air_0164b9927d20bcc3,2017-01-27
air_0164b9927d20bcc3_2017-01-31,13,29,air_0164b9927d20bcc3,2017-01-31
air_0164b9927d20bcc3_2017-02-01,8,7,air_0164b9927d20bcc3,2017-02-01
air_0164b9927d20bcc3_2017-02-06,4,0,air_0164b9927d20bcc3,2017-02-06
air_0164b9927d20bcc3_2017-02-07,10,5,air_0164b9927d20bcc3,2017-02-07
air_0164b9927d20bcc3_2017-02-08,5,6,air_0164b9927d20bcc3,2017-02-08
air_0164b9927d20bcc3_2017-02-09,13,59,air_0164b9927d20bcc3,2017-02-09
air_0164b9927d20bcc3_2017-02-10,5,3,air_0164b9927d20bcc3,2017-02-10
air_0164b9927d20bcc3_2017-02-15,2,0,air_0164b9927d20bcc3,2017-02-15
air_0164b9927d20bcc3_2017-02-18,9,6,air_0164b9927d20bcc3,2017-02-18
air_0164b9927d20bcc3_2017-02-20,1,1,air_0164b9927d20bcc3,2017-02-20
air_0164b9927d20bcc3_2017-02-21,6,0,air_0164b9927d20bcc3,2017-02-21
air_0164b9927d20bcc3_2017-02-24,4,3,air_0164b9927d20bcc3,2017-02-24
air_0164b9927d20bcc3_2017-02-27,2,5,air_0164b9927d20bcc3,2017-02-27
air_0164b9927d20bcc3_2017-02-28,2,6,air_0164b9927d20bcc3,2017-02-28
air_0164b9927d20bcc3_2017-03-01,4,0,air_0164b9927d20bcc3,2017-03-01
air_0164b9927d20bcc3_2017-03-02,6,9,air_0164b9927d20bcc3,2017-03-02
air_0164b9927d20bcc3_2017-03-03,3,5,air_0164b9927d20bcc3,2017-03-03
air_0164b9927d20bcc3_2017-03-06,4,7,air_0164b9927d20bcc3,2017-03-06
air_0164b9927d20bcc3_2017-03-07,3,5,air_0164b9927d20bcc3,2017-03-07
air_0164b9927d20bcc3_2017-03-08,6,1,air_0164b9927d20bcc3,2017-03-08
air_0164b9927d20bcc3_2017-03-10,6,1,air_0164b9927d20bcc3,2017-03-10
air_0164b9927d20bcc3_2017-03-13,11,59,air_0164b9927d20bcc3,2017-03-13
air_0164b9927d20bcc3_2017-03-14,6,11,air_0164b9927d20bcc3,2017-03-14
air_0164b9927d20bcc3_2017-03-17,9,9,air_0164b9927d20bcc3,2017-03-17
air_0164b9927d20bcc3_2017-03-22,11,37,air_0164b9927d20bcc3,2017-03-22
air_0164b9927d20bcc3_2017-03-24,14,94,air_0164b9927d20bcc3,2017-03-24
air_0164b9927d20bcc3_2017-03-27,8,34,air_0164b9927d20bcc3,2017-03-27
air_0164b9927d20bcc3_2017-03-28,2,10,air_0164b9927d20bcc3,2017-03-28
air_0164b9927d20bcc3_2017-03-29,4,11,air_0164b9927d20bcc3,2017-03-29
air_0164b9927d20bcc3_2017-03-30,8,12,air_0164b9927d20bcc3,2017-03-30
air_0164b9927d20bcc3_2017-03-31,4,16,air_0164b9927d20bcc3,2017-03-31
air_0164b9927d20bcc3_2017-04-03,8,3,air_0164b9927d20bcc3,2017-04-03
air_0164b9927d20bcc3_2017-04-05,10,15,air_0164b9927d20bcc3,2017-04-05
air_0164b9927d20bcc3_2017-04-12,1,0,air_0164b9927d20bcc3,2017-04-12
air_0164b9927d20bcc3_2017-04-13,9,14,air_0164b9927d20bcc3,2017-04-13
air_0164b9927d20bcc3_2017-04-21,26,12,air_0164b9927d20bcc3,2017-04-21
air_0164b9927d20bcc3_2017-04-25,3,19,air_0164b9927d20bcc3,2017-04-25
air_0164b9927d20bcc3_2017-04-26,2,14,air_0164b9927d20bcc3,2017-04-26
air_0164b9927d20bcc3_2017-04-27,4,26,air_0164b9927d20bcc3,2017-04-27
air_0164b9927d20bcc3_2017-05-01,3,10,air_0164b9927d20bcc3,2017-05-01
air_0164b9927d20bcc3_2017-05-02,2,13,air_0164b9927d20bcc3,2017-05-02
air_0164b9927d20bcc3_2017-05-05,2,16,air_0164b9927d20bcc3,2017-05-05
air_0164b9927d20bcc3_2017-05-09,3,19,air_0164b9927d20bcc3,2017-05-09
air_0164b9927d20bcc3_2017-05-13,10,41,air_0164b9927d20bcc3,2017-05-13
air_034a3d5b40d5b1b1_2016-10-29,3,2,air_034a3d5b40d5b1b1,2016-10-29
air_034a3d5b40d5b1b1_2016-11-02,2,4,air_034a3d5b40d5b1b1,2016-11-02
air_034a3d5b40d5b1b1_2016-11-05,4,1,air_034a3d5b40d5b1b1,2016-11-05
air_034a3d5b40d5b1b1_2016-11-10,2,4,air_034a3d5b40d5b1b1,2016-11-10
air_034a3d5b40d5b1b1_2016-11-12,2,0,air_034a3d5b40d5b1b1,2016-11-12
air_034a3d5b40d5b1b1_2017-01-06,5,1,air_034a3d5b40d5b1b1,2017-01-06
air_034a3d5b40d5b1b1_2017-02-03,3,1,air_034a3d5b40d5b1b1,2017-02-03
air_034a3d5b40d5b1b1_2017-02-14,5,1,air_034a3d5b40d5b1b1,2017-02-14
