id,visitors,calendar_date,air_store_id,dow,year,month,min_visitors,mean_visitors,median_visitors,max_visitors,count_observations,air_genre_name,air_area_name,latitude,longitude
air_00a91d42b08b08d9_2017-04-23,20,4/23/2017,air_00a91d42b08b08d9,6,2017,4,2,2,2,2,1,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-04-24,20,4/24/2017,air_00a91d42b08b08d9,0,2017,4,1,22.45714286,19,47,35,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-04-25,20,4/25/2017,air_00a91d42b08b08d9,1,2017,4,1,24.35,24.5,43,40,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-04-26,20,4/26/2017,air_00a91d42b08b08d9,2,2017,4,15,28.125,28,52,40,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-04-27,20,4/27/2017,air_00a91d42b08b08d9,3,2017,4,15,29.86842105,30,47,38,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-04-28,20,4/28/2017,air_00a91d42b08b08d9,4,2017,4,17,36.5,35.5,57,40,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-04-29,20,4/29/2017,air_00a91d42b08b08d9,5,2017,4,3,14.97368421,11,99,38,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-04-30,20,4/30/2017,air_00a91d42b08b08d9,6,2017,4,2,2,2,2,1,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-01,20,5/1/2017,air_00a91d42b08b08d9,0,2017,5,1,22.45714286,19,47,35,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-02,20,5/2/2017,air_00a91d42b08b08d9,1,2017,5,1,24.35,24.5,43,40,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-03,20,5/3/2017,air_00a91d42b08b08d9,2,2017,5,15,28.125,28,52,40,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-04,20,5/4/2017,air_00a91d42b08b08d9,3,2017,5,15,29.86842105,30,47,38,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-05,20,5/5/2017,air_00a91d42b08b08d9,4,2017,5,17,36.5,35.5,57,40,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-06,20,5/6/2017,air_00a91d42b08b08d9,5,2017,5,3,14.97368421,11,99,38,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-07,20,5/7/2017,air_00a91d42b08b08d9,6,2017,5,2,2,2,2,1,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-08,20,5/8/2017,air_00a91d42b08b08d9,0,2017,5,1,22.45714286,19,47,35,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-09,20,5/9/2017,air_00a91d42b08b08d9,1,2017,5,1,24.35,24.5,43,40,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-10,20,5/10/2017,air_00a91d42b08b08d9,2,2017,5,15,28.125,28,52,40,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-11,20,5/11/2017,air_00a91d42b08b08d9,3,2017,5,15,29.86842105,30,47,38,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-12,20,5/12/2017,air_00a91d42b08b08d9,4,2017,5,17,36.5,35.5,57,40,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-13,20,5/13/2017,air_00a91d42b08b08d9,5,2017,5,3,14.97368421,11,99,38,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-14,20,5/14/2017,air_00a91d42b08b08d9,6,2017,5,2,2,2,2,1,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-15,20,5/15/2017,air_00a91d42b08b08d9,0,2017,5,1,22.45714286,19,47,35,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-16,20,5/16/2017,air_00a91d42b08b08d9,1,2017,5,1,24.35,24.5,43,40,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-17,20,5/17/2017,air_00a91d42b08b08d9,2,2017,5,15,28.125,28,52,40,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-18,20,5/18/2017,air_00a91d42b08b08d9,3,2017,5,15,29.86842105,30,47,38,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-19,20,5/19/2017,air_00a91d42b08b08d9,4,2017,5,17,36.5,35.5,57,40,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-20,20,5/20/2017,air_00a91d42b08b08d9,5,2017,5,3,14.97368421,11,99,38,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-21,20,5/21/2017,air_00a91d42b08b08d9,6,2017,5,2,2,2,2,1,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-22,20,5/22/2017,air_00a91d42b08b08d9,0,2017,5,1,22.45714286,19,47,35,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-23,20,5/23/2017,air_00a91d42b08b08d9,1,2017,5,1,24.35,24.5,43,40,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-24,20,5/24/2017,air_00a91d42b08b08d9,2,2017,5,15,28.125,28,52,40,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-25,20,5/25/2017,air_00a91d42b08b08d9,3,2017,5,15,29.86842105,30,47,38,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-26,20,5/26/2017,air_00a91d42b08b08d9,4,2017,5,17,36.5,35.5,57,40,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-27,20,5/27/2017,air_00a91d42b08b08d9,5,2017,5,3,14.97368421,11,99,38,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-28,20,5/28/2017,air_00a91d42b08b08d9,6,2017,5,2,2,2,2,1,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-29,20,5/29/2017,air_00a91d42b08b08d9,0,2017,5,1,22.45714286,19,47,35,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-30,20,5/30/2017,air_00a91d42b08b08d9,1,2017,5,1,24.35,24.5,43,40,6,44,35.6940027,139.7535951
air_00a91d42b08b08d9_2017-05-31,20,5/31/2017,air_00a91d42b08b08d9,2,2017,5,15,28.125,28,52,40,6,44,35.6940027,139.7535951
air_0164b9927d20bcc3_2017-04-23,20,4/23/2017,air_0164b9927d20bcc3,6,2017,4,,,,,,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-04-24,20,4/24/2017,air_0164b9927d20bcc3,0,2017,4,2,7.5,6,19,20,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-04-25,20,4/25/2017,air_0164b9927d20bcc3,1,2017,4,1,9.56,8,24,25,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-04-26,20,4/26/2017,air_0164b9927d20bcc3,2,2017,4,2,9.678571429,8,27,28,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-04-27,20,4/27/2017,air_0164b9927d20bcc3,3,2017,4,1,9.846153846,10.5,23,26,6,62,35.6580681,139.7515992
