id,visitors,year,month,day,dow,holiday_flg,min_visitors,mean_visitors,median_visitors,max_visitors,count_observations,air_genre_name,air_area_name,latitude,longitude
air_00a91d42b08b08d9_2017-04-23,20,2017,4,23,6,0,2.0,2.0,2.0,2.0,1.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-04-24,20,2017,4,24,0,0,1.0,22.45714286,19.0,47.0,35.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-04-25,20,2017,4,25,1,0,1.0,24.35,24.5,43.0,40.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-04-26,20,2017,4,26,2,0,15.0,28.125,28.0,52.0,40.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-04-27,20,2017,4,27,3,0,15.0,29.86842105,30.0,47.0,38.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-04-28,20,2017,4,28,4,0,17.0,36.5,35.5,57.0,40.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-04-29,20,2017,4,29,5,1,3.0,14.97368421,11.0,99.0,38.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-04-30,20,2017,4,30,6,0,2.0,2.0,2.0,2.0,1.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-01,20,2017,5,1,0,0,1.0,22.45714286,19.0,47.0,35.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-02,20,2017,5,2,1,0,1.0,24.35,24.5,43.0,40.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-03,20,2017,5,3,2,1,15.0,28.125,28.0,52.0,40.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-04,20,2017,5,4,3,1,15.0,29.86842105,30.0,47.0,38.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-05,20,2017,5,5,4,1,17.0,36.5,35.5,57.0,40.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-06,20,2017,5,6,5,0,3.0,14.97368421,11.0,99.0,38.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-07,20,2017,5,7,6,0,2.0,2.0,2.0,2.0,1.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-08,20,2017,5,8,0,0,1.0,22.45714286,19.0,47.0,35.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-09,20,2017,5,9,1,0,1.0,24.35,24.5,43.0,40.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-10,20,2017,5,10,2,0,15.0,28.125,28.0,52.0,40.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-11,20,2017,5,11,3,0,15.0,29.86842105,30.0,47.0,38.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-12,20,2017,5,12,4,0,17.0,36.5,35.5,57.0,40.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-13,20,2017,5,13,5,0,3.0,14.97368421,11.0,99.0,38.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-14,20,2017,5,14,6,0,2.0,2.0,2.0,2.0,1.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-15,20,2017,5,15,0,0,1.0,22.45714286,19.0,47.0,35.0,6,44,35.6940027,139.75359509999998
