store_id_date,store_id,year,month,day,season,day_of_week,working_day,holiday_flg,genre_name,loc,reserve_visitors,visitors
air_00a91d42b08b08d9_2016-10-31,air_00a91d42b08b08d9,0,10,31,3,1,0,0,6,5,2,26.0
air_00a91d42b08b08d9_2016-12-05,air_00a91d42b08b08d9,0,12,5,0,1,0,0,6,5,9,33.0
air_00a91d42b08b08d9_2016-12-14,air_00a91d42b08b08d9,0,12,14,0,3,0,0,6,5,18,30.0
air_00a91d42b08b08d9_2016-12-17,air_00a91d42b08b08d9,0,12,17,0,6,1,0,6,5,2,17.0
air_00a91d42b08b08d9_2016-12-20,air_00a91d42b08b08d9,0,12,20,0,2,0,0,6,5,4,37.0
air_00a91d42b08b08d9_2017-02-18,air_00a91d42b08b08d9,1,2,18,0,6,1,0,6,5,9,18.0
air_00a91d42b08b08d9_2017-02-23,air_00a91d42b08b08d9,1,2,23,0,4,0,0,6,5,12,40.0
air_00a91d42b08b08d9_2017-03-01,air_00a91d42b08b08d9,1,3,1,1,3,0,0,6,5,3,17.0
air_00a91d42b08b08d9_2017-03-14,air_00a91d42b08b08d9,1,3,14,1,2,0,0,6,5,4,28.0
air_00a91d42b08b08d9_2017-03-21,air_00a91d42b08b08d9,1,3,21,1,2,0,0,6,5,3,28.0
air_00a91d42b08b08d9_2017-03-24,air_00a91d42b08b08d9,1,3,24,1,5,0,0,6,5,2,34.0
air_00a91d42b08b08d9_2017-04-04,air_00a91d42b08b08d9,1,4,4,1,2,0,0,6,5,2,17.0
air_0164b9927d20bcc3_2016-10-28,air_0164b9927d20bcc3,0,10,28,3,5,0,0,6,5,12,25.0
air_0164b9927d20bcc3_2016-11-01,air_0164b9927d20bcc3,0,11,1,3,2,0,0,6,5,10,17.0
air_0164b9927d20bcc3_2016-11-02,air_0164b9927d20bcc3,0,11,2,3,3,0,0,6,5,3,10.0
air_0164b9927d20bcc3_2016-11-08,air_0164b9927d20bcc3,0,11,8,3,2,0,0,6,5,9,9.0
air_0164b9927d20bcc3_2016-11-10,air_0164b9927d20bcc3,0,11,10,3,4,0,0,6,5,6,7.0
air_0164b9927d20bcc3_2016-11-11,air_0164b9927d20bcc3,0,11,11,3,5,0,0,6,5,4,3.0
air_0164b9927d20bcc3_2016-11-14,air_0164b9927d20bcc3,0,11,14,3,1,0,0,6,5,17,19.0
air_0164b9927d20bcc3_2016-11-15,air_0164b9927d20bcc3,0,11,15,3,2,0,0,6,5,3,7.0
air_0164b9927d20bcc3_2016-11-16,air_0164b9927d20bcc3,0,11,16,3,3,0,0,6,5,2,8.0
air_0164b9927d20bcc3_2016-11-18,air_0164b9927d20bcc3,0,11,18,3,5,0,0,6,5,13,18.0
air_0164b9927d20bcc3_2016-11-21,air_0164b9927d20bcc3,0,11,21,3,1,0,0,6,5,3,3.0
air_0164b9927d20bcc3_2016-11-22,air_0164b9927d20bcc3,0,11,22,3,2,0,0,6,5,9,10.0
air_0164b9927d20bcc3_2016-11-24,air_0164b9927d20bcc3,0,11,24,3,4,0,0,6,5,2,2.0
air_0164b9927d20bcc3_2016-11-26,air_0164b9927d20bcc3,0,11,26,3,6,1,0,6,5,10,11.0
air_0164b9927d20bcc3_2016-11-28,air_0164b9927d20bcc3,0,11,28,3,1,0,0,6,5,2,6.0
air_0164b9927d20bcc3_2016-12-02,air_0164b9927d20bcc3,0,12,2,0,5,0,0,6,5,3,25.0
air_0164b9927d20bcc3_2016-12-05,air_0164b9927d20bcc3,0,12,5,0,1,0,0,6,5,4,6.0
